City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,269.58,79,20,2.06,CA,1682426843
83,minas de marcona,-15.2119,-75.1103,291.26,76,23,4.05,PE,1682426793
84,anadyr,64.75,177.4833,261.43,72,0,4.0,RU,1682426638
85,iqaluit,63.7506,-68.5145,271.0,100,100,1.03,CA,1682426843
86,nieuw amsterdam,5.8833,-55.0833,302.6,78,40,1.03,SR,1682426844
87,lihue,21.9789,-159.3672,294.73,86,75,3.6,US,1682426739
88,shar'ya,58.3686,45.5144,289.88,49,100,2.96,RU,1682426844
89,vizinga,61.0749,50.1031,293.08,36,54,2.91,RU,1682426845
90,qarauyl,48.9451,79.255,283.87,41,6,2.95,KZ,1682426845
91,talodi,10.6325,30.3797,311.04,23,99,3.73,SD,1682426845
92,tiksi,71.6872,128.8694,260.78,100,100,1.96,RU,1682426845
93,iskateley,67.6803,53.1512,272.52,87,14,6.42,RU,1682426846
94,lompoc,34.6391,-120.4579,282.88,81,100,7.15,US,1682426846
95,port augusta,-32.5,137.7667,294.76,41,100,3.33,AU,1682426801
96,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,60,75,3.0,RU,1682426847
97,papatowai,-46.5619,169.4708,282.94,77,87,8.75,NZ,1682426847
98,mercedes,-34.6515,-59.4307,290.9,79,100,1.39,AR,1682426847
99,liuli,-11.0833,34.6333,299.07,79,28,4.93,TZ,1682426847
100,annaba,36.9,7.7667,297.13,43,0,4.12,DZ,1682426847
101,champerico,14.3,-91.9167,297.45,70,100,4.62,GT,1682426848
102,majene,-3.5403,118.9707,299.77,84,100,1.35,ID,1682426848
103,jamestown,42.097,-79.2353,278.16,90,100,2.06,US,1682426575
104,port mathurin,-19.6833,63.4167,299.4,79,93,8.12,MU,1682426850
105,constantia,44.1833,28.65,290.76,77,100,8.5,RO,1682426850
106,hsinchu,24.8036,120.9686,294.74,94,100,1.79,TW,1682426836
107,ribeira grande,38.5167,-28.7,291.91,88,20,4.47,PT,1682426850
108,veraval,20.9,70.3667,302.13,63,100,6.54,IN,1682426836
109,abbeville,50.1,1.8333,285.09,61,92,4.46,FR,1682426850
110,zachary,30.6485,-91.1565,287.45,84,0,0.0,US,1682426851
111,bueng kan,18.363,103.6519,297.59,75,53,3.49,TH,1682426681
112,torghay,49.6339,63.4981,294.98,25,3,3.08,KZ,1682426851
113,ryotsu-minato,38.0833,138.4333,285.78,73,100,4.34,JP,1682426851
114,weno,7.4515,151.8468,299.12,94,100,1.54,FM,1682426851
115,mahalapye,-23.1041,26.8142,304.93,23,12,2.06,BW,1682426851
116,saipan,15.1355,145.701,300.54,100,40,7.72,MP,1682426782
